_step,00spdegt/performance,2g0grw6b/performance,5skjfdb6/performance,63efs4rb/performance,6cygp83c/performance,6outyutx/performance,92v9kww2/performance,99qxlztw/performance,9os7zt87/performance,cu3fna3g/performance,flgg4p43/performance,gt7lt266/performance,jpvjkq6y/performance,lfrslc09/performance,mfc412qw/performance,mme3eu02/performance,mynwux3u/performance,nhxhyuax/performance,ogzgxckx/performance,padvbnfn/performance,pn4cpj2n/performance,qks8epfv/performance,ry21zb85/performance,sd0tj093/performance,snotn0pl/performance,t4rr01vg/performance,u0pwzh7r/performance,u1ccqn5v/performance,vf236326/performance,wtjv38vo/performance
2621440.0,0.0904972399584949,0.0799500741995871,0.0868075666949153,0.09248605836182833,0.09373622899875045,0.08881762903183699,0.08897229330614209,0.08350346353836358,0.10190975479781628,0.0943743260577321,0.08635652996599674,0.08980336226522923,0.09215681534260511,0.08845661859959364,0.08490746701136231,0.08595846919342875,0.08798749838024378,0.09228358557447791,0.09183088131248951,0.0894681429490447,0.08696288242936134,0.08315101312473416,0.0832124596927315,0.08815015386790037,0.0851623760536313,0.09141111606732011,0.0945794410072267,0.08810418611392379,0.08926805574446917,0.09151916485279799
4718592.0,0.032081910758279264,0.03724730503745377,0.037695193430408835,0.029642724432051182,0.034725875477306545,0.034701160504482687,0.03517760545946658,0.03300426434725523,0.03106715262401849,0.03339921310544014,0.034242621157318354,0.03979956288821995,0.028723825118504465,0.03045866230968386,0.029425638145767152,0.039226139429956675,0.031223350088112056,0.03401324211154133,0.03240697423461825,0.030692022875882685,0.03415542119182646,0.03584371996112168,0.03424630139488727,0.030686448677442968,0.03393170260824263,0.04007592867128551,0.02721419301815331,0.031437320401892066,0.02823884435929358,0.03575299959629774
6815744.0,0.04465011367574334,0.05618410627357662,0.053749382961541414,0.04344993690028787,0.045007489155977964,0.048117054626345634,0.04774612048640847,0.05087102041579783,0.04058988741599023,0.04666821123100817,0.04462440335191786,0.05179519532248378,0.03984270081855357,0.03992995643056929,0.04183785757049918,0.05197969917207956,0.04215061338618398,0.049723594449460506,0.039629296865314245,0.04145156592130661,0.04539788351394236,0.04939493001438677,0.0522854293230921,0.040983557933941483,0.04827700858004391,0.05205267551355064,0.034381191595457494,0.046287034871056676,0.03393767343368381,0.051741515984758735
8912896.0,0.05773525312542915,0.07221431285142899,0.06447985395789146,0.05265324516221881,0.055661286925897,0.06051290547475219,0.0543918558396399,0.061820751056075096,0.052978307008743286,0.055710214888677,0.05758503172546625,0.06051554251462221,0.053106849547475576,0.047302677761763334,0.055897189071401954,0.067289003636688,0.0512937749736011,0.06634241435676813,0.04843059810809791,0.04928349354304373,0.061205947771668434,0.06394527922384441,0.06374508352018893,0.050767879001796246,0.05512150144204497,0.060008933302015066,0.043848986737430096,0.05425480497069657,0.05042088218033314,0.06551350047811866
11010048.0,0.07659460511058569,0.08612480945885181,0.07790172239765525,0.06073112227022648,0.06431396771222353,0.06894376454874873,0.059088933281600475,0.07700712233781815,0.06300076772458851,0.06917987577617168,0.0642420465592295,0.07510997401550412,0.06284989509731531,0.057071438524872065,0.06333513930439949,0.07948928652331233,0.05746598378755152,0.0773062682710588,0.05945100379176438,0.054735631216317415,0.07125533511862159,0.07723363535478711,0.07489261962473392,0.0628224948886782,0.06112603400833905,0.07258461276069283,0.05238418257795274,0.06400662031956017,0.06347058364190161,0.08076191041618586
13107200.0,0.0820168093778193,0.1020091325044632,0.08729403000324965,0.07388972770422697,0.08184739947319031,0.0775042911991477,0.06712973862886429,0.08757165027782321,0.07457996252924204,0.08366708038374782,0.0719498423859477,0.08430978143587708,0.07702965289354324,0.06243263394571841,0.07308797398582101,0.08831517584621906,0.061110129579901695,0.08686680486425757,0.07127935253083706,0.06481279130093753,0.08140467666089535,0.08604003116488457,0.09313241252675653,0.0713933976367116,0.0672052213922143,0.08744485536590219,0.0630383777897805,0.06953327008523047,0.07419068273156881,0.09340044623240829
15204352.0,0.09537850460037589,0.12469232315197587,0.09616594901308417,0.08707608422264457,0.09577107010409236,0.07999669015407562,0.07985479198396206,0.09068032819777727,0.08645871561020613,0.09790528286248446,0.07898902567103505,0.08671256899833679,0.09130769455805421,0.07075781654566526,0.08382495073601604,0.09418300213292241,0.07617372227832675,0.09354861453175545,0.08407553052529693,0.0797989834100008,0.08847847115248442,0.09522327780723572,0.10901462519541383,0.07697908906266093,0.07427604496479034,0.09438306419178843,0.07979372795671225,0.07748204609379172,0.07754691084846854,0.10988735826686025
17301504.0,0.15791919454932213,0.1658087968826294,0.160512856207788,0.1546974149532616,0.12578321853652596,0.11762037826701999,0.15151203982532024,0.14736562687903643,0.15360241988673806,0.14245625911280513,0.12617751443758607,0.14234297117218375,0.14233942795544863,0.09895985946059227,0.16341792419552803,0.14609139086678624,0.13261543586850166,0.1593795227818191,0.12841928377747536,0.16283014928922057,0.12350649805739522,0.16090855887159705,0.16681030206382275,0.14716359553858638,0.1302537708543241,0.1297974344342947,0.13803637493401766,0.11053944379091263,0.12853176426142454,0.14290170324966311
19398656.0,0.1389809870161116,0.13799218134954572,0.137217506300658,0.12598653137683868,0.12691015796735883,0.12530360370874405,0.1336264554411173,0.1324129505082965,0.1183723141439259,0.1215482004918158,0.12499310448765755,0.10727245733141899,0.11628362257033587,0.1268707732670009,0.13660328602418303,0.1348201846703887,0.12514380412176251,0.12703988421708345,0.11757792346179485,0.14205171447247267,0.12135502696037292,0.13634843798354268,0.15061432775110006,0.12608897872269154,0.13814869383350015,0.1159186395816505,0.10487847216427326,0.13113019289448857,0.10726403817534447,0.13104620249941945
21495808.0,0.11756159132346511,0.1304341983050108,0.12060250248759985,0.12566713243722916,0.11338955443352461,0.12126922328025103,0.12442658422514796,0.11676142923533916,0.10963671281933784,0.11702149640768766,0.10835373867303133,0.09887851681560278,0.09122548438608646,0.11402094224467874,0.12614360125735402,0.10981742246076465,0.11477154493331909,0.1134555502794683,0.10841949703171849,0.13116269232705235,0.10234669735655189,0.12562955962494016,0.13390893302857876,0.10636687325313687,0.1169642279855907,0.09868236072361469,0.09879182046279311,0.11253376863896847,0.10162359895184636,0.11372687853872776
