_step,0aa3cvyo/performance,2zmxsbeo/performance,32js8gx8/performance,3vt9y5k8/performance,5k4iud81/performance,60woou5x/performance,6pf17133/performance,7rvp9ssu/performance,8jqqols3/performance,8lmr4g5d/performance,9pes2yv7/performance,bszmupol/performance,bvebjfi5/performance,e7ge96mn/performance,f7fl3ega/performance,g562qsvw/performance,hupn58ep/performance,l94wepmk/performance,ltvs6kjh/performance,nc4vcanv/performance,r03j3et6/performance,ri5i5bq8/performance,rk8amzrj/performance,rx24mj5d/performance,sgiwrmdu/performance,t0z60lrf/performance,t2gz4d4r/performance,uh2zmmg6/performance,um9sdw21/performance,vctu8hpl/performance
2621440.0,0.09034085553139448,0.09015165502205491,0.09106902359053493,0.08656472666189075,0.08673653146252036,0.09141578385606408,0.08814338315278292,0.09292681002989411,0.08072710921987891,0.09477174747735262,0.08800562703981996,0.08781033894047141,0.08547006407752633,0.08370061917230487,0.0925963087938726,0.09379969607107341,0.09809845639392734,0.08849589619785547,0.07794674020260572,0.08619835739955306,0.09693248476833105,0.09371211566030979,0.0864001614972949,0.09473537467420101,0.08451365772634745,0.08803924266248941,0.08478933479636908,0.08799325674772263,0.08660766715183854,0.08399317134171724
4718592.0,0.03281980031169951,0.028661756892688572,0.03715332364663482,0.03667268226854503,0.032153621315956116,0.029233749257400632,0.03493444691412151,0.034217267064377666,0.035988776362501085,0.030770610668696463,0.03301511565223336,0.03697639983147383,0.04013067902997136,0.03854528209194541,0.03334133850876242,0.03113245463464409,0.03476278041489422,0.03215366730000824,0.03564734500832856,0.032188119483180344,0.026973671629093587,0.03141298785340041,0.0366139835678041,0.034197838860563934,0.030537615180946887,0.03060587972868234,0.03714706446044147,0.0394001379609108,0.03112054313533008,0.0354327776003629
6815744.0,0.0490194596350193,0.03414242248982191,0.05021927156485617,0.05289756483398378,0.04083035932853818,0.04180070501752198,0.04784418107010424,0.04377826675772667,0.04615853261202574,0.04032621346414089,0.038797555258497596,0.048789713997393847,0.05684465146623552,0.06279974221251905,0.04321148945018649,0.04548642109148204,0.04048392898403108,0.046502613462507725,0.051358763594180346,0.04555028723552823,0.03422847471665591,0.04454573686234653,0.045415467116981745,0.045033827889710665,0.038165535777807236,0.042592616053298116,0.05191819812171161,0.05272875656373799,0.038095776457339525,0.049163472605869174
8912896.0,0.05773952719755471,0.04372140276245773,0.06020716461353004,0.06599116744473577,0.05359240877442062,0.054933276725932956,0.06413172255270183,0.05563960107974708,0.054004142293706536,0.050625592935830355,0.050612114602699876,0.06041316455230117,0.06840355833992362,0.08603975176811218,0.050733779557049274,0.05881074885837734,0.05291916569694877,0.0530512947589159,0.06809944985434413,0.0568750542588532,0.04348937887698412,0.057087319204583764,0.05674810381606221,0.05610029259696603,0.050425562309101224,0.0491130449809134,0.06528196134604514,0.06428781966678798,0.0461279908195138,0.055280900094658136
11010048.0,0.06434604874812067,0.05272743781097233,0.0726346387527883,0.08245304273441434,0.06529806414619088,0.06958288652822375,0.08306457614526153,0.06313140294514596,0.06520988908596337,0.05597821669653058,0.06276092398911715,0.06803988758474588,0.08168793981894851,0.10643963003531098,0.06070423009805381,0.07924422295764089,0.06443755910731852,0.06521415687166154,0.07810527086257935,0.07271919678896666,0.052436114521697164,0.0702068991959095,0.07644410338252783,0.06551773380488157,0.06030756304971874,0.056079138070344925,0.0742475651204586,0.07764246547594666,0.060134591069072485,0.06485020508989692
13107200.0,0.07216263702139258,0.06823724415153265,0.08806517953053117,0.09759210702031851,0.06797478394582868,0.08636097749695182,0.09425267390906811,0.08016103319823742,0.07969141425564885,0.0639757860917598,0.08172143902629614,0.08907021582126617,0.0976518839597702,0.1148363403044641,0.06899346667341888,0.09151296364143491,0.07686758134514093,0.08526163594797254,0.10022422904148698,0.08572954218834639,0.05469715897925198,0.08105171052739024,0.0943377842195332,0.07665441138669848,0.06921571772545576,0.06473382329568267,0.08398704091086984,0.09773217746987939,0.07301292195916176,0.07590048154816031
15204352.0,0.08597956877201796,0.0756928757764399,0.09675079956650734,0.1087837666273117,0.06945568998344243,0.10158902779221535,0.10265702055767179,0.09423819510266185,0.08560408744961023,0.07121201092377305,0.09792350418865681,0.09786090534180403,0.11012500990182161,0.11805601883679628,0.07293873466551304,0.10395402275025845,0.08863431261852384,0.09535685181617737,0.10998357133939862,0.10049574682489038,0.06416625715792179,0.09223080519586802,0.09964083228260279,0.08439437625929713,0.08488674368709326,0.0684434431605041,0.09409257583320141,0.10779821313917637,0.07906860578805208,0.09679343365132809
17301504.0,0.17403502482920885,0.1436042166315019,0.14737949054688215,0.1571844001300633,0.16490826103836298,0.15285000018775463,0.16251542139798403,0.15339515917003155,0.12706012558192015,0.15947463270276785,0.17942349519580603,0.16875131987035275,0.1626337324269116,0.1699730046093464,0.14537061797454953,0.16691566305235028,0.14657980063930154,0.1526818834245205,0.16259436635300517,0.1481392658315599,0.12262221006676555,0.15403974475339055,0.15581362647935748,0.12710369750857353,0.11697243340313435,0.13689647382125258,0.15011026384308934,0.15752744302153587,0.13529789308086038,0.16155150067061186
19398656.0,0.12709052069112659,0.13890303578227758,0.10400095954537392,0.15194148663431406,0.11305253999307752,0.1229252596385777,0.14507856778800488,0.10499656805768609,0.13304893160238862,0.14299793727695942,0.14024869306012988,0.13718179380521178,0.13180818129330873,0.14104081504046917,0.14208569331094623,0.11927195638418198,0.12664357526227832,0.14062279229983687,0.14164188876748085,0.14165136497467756,0.12739615328609943,0.13523113913834095,0.11568220052868128,0.1127366959117353,0.1258482914417982,0.12009398685768247,0.13659124821424484,0.13877223059535027,0.12034337548539042,0.1388145019300282
21495808.0,0.11054918030276895,0.13201759476214647,0.08457770943641663,0.13698384910821915,0.10134662222117186,0.10720087913796306,0.1266567325219512,0.0984775903634727,0.12351677054539323,0.12732637207955122,0.12633420387282968,0.11616218509152532,0.11899933265522122,0.13152511464431882,0.12996658636257052,0.11528328852728009,0.10827426705509424,0.12570612039417028,0.118435297627002,0.12472111778333783,0.11314325127750635,0.11663703946396708,0.10325798904523253,0.1016749432310462,0.11719164112582803,0.11366355931386352,0.11658356944099069,0.1268878593109548,0.10361816175282001,0.12817608984187245
23592960.0,0.11329289292916656,0.13419923279434443,0.09294306533411145,0.13960168324410915,0.10450107930228114,0.09455577889457345,0.1284913020208478,0.09806676022708416,0.12532121036201715,0.1278338572010398,0.1327664190903306,0.1199569720774889,0.11828212207183242,0.13158742059022188,0.12840456841513515,0.11356822494417429,0.10942028276622295,0.13339124200865626,0.11505339154973626,0.12818107474595308,0.11904895771294832,0.12056153966113925,0.09556343266740441,0.097312374971807,0.11346968216821551,0.10695450427010655,0.11396147590130568,0.13200676441192627,0.10724537167698145,0.1356649911031127
25690112.0,0.12085821479558945,0.1398816928267479,0.10013136174529791,0.14424063172191381,0.11192995915189385,0.0984587543644011,0.12855256581678987,0.10585630079731345,0.1261627390049398,0.13512096786871552,0.13776480685919523,0.1254877420142293,0.12178951734676957,0.13281005900353193,0.1352004250511527,0.11413578176870942,0.10972204571589828,0.1399735203012824,0.12501327879726887,0.128739888779819,0.12160060135647655,0.12361271725967526,0.09414041647687554,0.09138393495231867,0.11502515571191907,0.10768906213343143,0.11703946627676487,0.13513221964240074,0.11423728568479419,0.13952638488262892
27787264.0,0.12968227360397577,0.14748504757881165,0.1109624789096415,0.14810249395668507,0.11897928453981876,0.10497507732361555,0.13677570223808289,0.10805528936907649,0.13785606157034636,0.1399967446923256,0.14483587443828583,0.13259231531992555,0.122204071842134,0.14112500473856926,0.14385144226253033,0.1180436797440052,0.11621578084304929,0.1498975045979023,0.13000925164669752,0.14106865040957928,0.13114913692697883,0.1335562588647008,0.09395897528156638,0.08980566821992397,0.11561423586681485,0.11957011232152581,0.1275393133983016,0.14312776178121567,0.120813496876508,0.14141717553138733
29884416.0,0.14096721448004246,0.15946799144148827,0.12225961266085505,0.1563091203570366,0.13134934287518263,0.11106595024466515,0.14832933992147446,0.11662725452333689,0.15232757944613695,0.14879223704338074,0.15108787082135677,0.1404986223205924,0.12757250666618347,0.1532129980623722,0.1533504519611597,0.1281030708923936,0.13038416905328631,0.16125934943556786,0.13717163214460015,0.15066247060894966,0.14026645757257938,0.14380568731576204,0.10180755658075213,0.09304998489096761,0.1206806655973196,0.12211908353492618,0.13841241970658302,0.15707377344369888,0.12927794130519032,0.1514092180877924
31981568.0,0.15165821090340614,0.17496665101498365,0.13565608905628324,0.16463268920779228,0.14677408430725336,0.11281093349680305,0.16054252069443464,0.13148142537102103,0.1597175132483244,0.16222145594656467,0.15665970742702484,0.14759501069784164,0.13943725358694792,0.16495940927416086,0.16581051424145699,0.1392099312506616,0.13401647424325347,0.17526646051555872,0.1565272817388177,0.1614378374069929,0.1541752014309168,0.1599128069356084,0.11604546662420034,0.0970147056505084,0.1328616919927299,0.13303933991119266,0.15418457705527544,0.17185195069760084,0.13928307965397835,0.16633553709834814
