_step,13s34wm8/performance,194js8m4/performance,1b4ko03o/performance,1x73mxr4/performance,21szf8kk/performance,4bq822j5/performance,4hvxjp0c/performance,4to6x7fy/performance,82qfwz7r/performance,84qllh0q/performance,8iwshksf/performance,98f1sok9/performance,9douwcyu/performance,bfkfe3i8/performance,eacxwib0/performance,fkbl6eet/performance,i700o1pb/performance,k6admgyb/performance,m8g3g8xu/performance,pce7f1px/performance,praggiao/performance,prlhhm6v/performance,qc62qa8y/performance,qgx5p54e/performance,qukn67iw/performance,tskc4t47/performance,vs2u1tyw/performance,wsclo43r/performance,xmypnjhh/performance
3145728.0,0.07667877385392785,0.07769261347129941,0.07379565294831991,0.07811426627449691,0.07840141281485558,0.0788770280778408,0.07727066846564412,0.07669962104409933,0.07678288943134248,0.08024602942168713,0.07105134334415197,0.07933220453560352,0.08037467254325747,0.07726722257211804,0.07545645628124475,0.07607532711699605,0.08001588191837072,0.07542555313557386,0.07976276194676757,0.07298594666644931,0.07381597440689802,0.07749903155490756,0.07841508602723479,0.07374769914895296,0.07962798327207565,0.07791446638293564,0.07443464966490865,0.08424366125836968,0.07176740816794336
5242880.0,0.025600611115805805,0.02627841313369572,0.026645856793038547,0.026874805218540132,0.026131639606319368,0.02805446507409215,0.0252541562076658,0.02554594329558313,0.026412116130813956,0.02730762748979032,0.02753939456306398,0.02493657683953643,0.025731226312927902,0.025745458086021245,0.02661545411683619,0.02656402171123773,0.02455595531500876,0.02644632593728602,0.027596002677455544,0.025968961999751627,0.02776859060395509,0.027201558812521398,0.02672743413131684,0.027801771881058812,0.027683643042109907,0.02497416059486568,0.026324432925321162,0.023800648632459342,0.02674337790813297
7340032.0,0.0259584232699126,0.027375258854590356,0.029944320092909038,0.03259564994368702,0.029365358990617096,0.028878065990284085,0.025497707189060748,0.02967749338131398,0.031695145764388144,0.031640799483284354,0.031740284990519285,0.027522684773430228,0.02860494761262089,0.03046939172782004,0.028562305844388902,0.030029968242160976,0.026196352555416524,0.02848425251431763,0.027873271028511226,0.0333577353740111,0.03178996953647584,0.02982935030013323,0.0297227498376742,0.03142967610619962,0.030120359268039465,0.02336518093943596,0.03019025397952646,0.024613824556581676,0.030219821725040674
9437184.0,0.03582052222918719,0.0336213749833405,0.038481745636090636,0.036518620792776346,0.03561090724542737,0.03741270722821355,0.028716634842567146,0.0377724242862314,0.038120160810649395,0.03847179957665503,0.040178155060857534,0.033263131277635694,0.03817603993229568,0.03537840931676328,0.03327839623671025,0.038038544123992324,0.035854163812473416,0.03779019834473729,0.03551979805342853,0.03888714825734496,0.04191148211248219,0.03545182291418314,0.037583323661237955,0.03494867659173906,0.03308640036266297,0.031044101808220148,0.03872888186015189,0.02953917335253209,0.037188990507274866
11534336.0,0.04525067028589547,0.03868564055301249,0.04433022439479828,0.04429291398264468,0.039947894867509604,0.044743066653609276,0.035367657779715955,0.04284537513740361,0.04374408628791571,0.04245283454656601,0.04250644613057375,0.03659108700230718,0.04459166736342013,0.040625967318192124,0.036722070537507534,0.04091012664139271,0.038833404425531626,0.0423373153898865,0.03917275811545551,0.0423777112737298,0.04165124357677996,0.040607231901958585,0.04517194628715515,0.043985630851238966,0.035042839823290706,0.04084823885932565,0.050062575144693255,0.03551750350743532,0.04049351089634001
13631488.0,0.04982122522778809,0.04378733574412763,0.046914805890992284,0.05071803159080446,0.041484757559373975,0.05183454952202737,0.0365724943112582,0.048000144539400935,0.04649784974753857,0.05041425419040024,0.044878677697852254,0.0393212279304862,0.05040011741220951,0.044204684207215905,0.0416875637602061,0.04495493904687464,0.045114276465028524,0.04793109558522701,0.04336288897320628,0.049119255505502224,0.04669491155073047,0.04129353701137006,0.05104670533910394,0.05384204746223986,0.03726430796086788,0.04751446610316634,0.05449217720888555,0.0432029333896935,0.0443081792909652
15728640.0,0.051196442916989326,0.04571113153360784,0.0477344524115324,0.049455099971964955,0.04603636311367154,0.06075653666630387,0.040653440402820706,0.05559340072795749,0.05248109856620431,0.06050258013419807,0.047454455168917775,0.038753738859668374,0.05839895713143051,0.04929466382600367,0.048594646621495485,0.0496942070312798,0.05048315180465579,0.05531479138880968,0.048262278782203794,0.059721128549426794,0.05396276107057929,0.0524998081382364,0.059541640570387244,0.05861200322397053,0.04034482641145587,0.05196839198470116,0.0617255752440542,0.04852269263938069,0.047798745799809694
17825792.0,0.11456209165044129,0.13515580701641738,0.11302790767513216,0.0912915519438684,0.10764348367229104,0.12544278474524617,0.13761859689839184,0.1038933559320867,0.13260887190699577,0.1623699744231999,0.11231834418140352,0.10727188270539045,0.11262996587902308,0.10604441491886973,0.10913757467642426,0.08591480529867113,0.1307174558751285,0.1255408376455307,0.12662171991541982,0.12395676644518971,0.11305613908916712,0.10663519287481904,0.1488278121687472,0.1296645188704133,0.10196809866465628,0.12097731605172157,0.16026549693197012,0.10951107228174806,0.12575082504190505
19922944.0,0.11231805616989732,0.0851206867955625,0.09947506245225668,0.08665727847255766,0.11349578388035297,0.11631772108376026,0.11150873638689518,0.10742982709780335,0.08867068635299802,0.11034219153225422,0.09363286662846804,0.10134935053065419,0.13131818594411016,0.09187475824728608,0.0940135563723743,0.08600100362673402,0.11574637750163674,0.11755661712959409,0.11599690886214375,0.12030406715348363,0.09495109226554632,0.12802120950073004,0.11108065536245704,0.11893817875534296,0.09660159330815077,0.0913115032017231,0.12147568352520466,0.09921048302203417,0.08414334151893854
22020096.0,0.0818102564662695,0.08213531598448753,0.08171665715053678,0.06930214026942849,0.08151574106886983,0.10108832037076354,0.09633851004764438,0.07911997335031629,0.07295894529670477,0.08949499577283859,0.0821254919283092,0.07985083386301994,0.09968215180560946,0.07845910638570786,0.07220241520553827,0.07571346033364534,0.10649360762909055,0.1002742825075984,0.09115123329684138,0.0903167319484055,0.08202140079811215,0.09930295357480645,0.08649157546460629,0.10073800291866064,0.07343230582773685,0.08056254871189594,0.08551288908347487,0.07679028902202845,0.09750887984409928
24117248.0,0.08042712416499853,0.07947360444813967,0.08843360096216202,0.0656647717114538,0.08049761224538088,0.10877161426469684,0.09483596449717879,0.0741371400654316,0.07108643231913447,0.08391757868230343,0.08054564381018281,0.0685165892355144,0.09212919464334846,0.08137431787326932,0.06336365360766649,0.0786541667766869,0.0978028760291636,0.09242074238136411,0.08776562847197056,0.09777216194197536,0.0749875926412642,0.08968042489141226,0.08811991568654776,0.08229149086400867,0.0661673687864095,0.08613109961152077,0.08188495598733425,0.08107983879745007,0.09313023881986737
