_step,83wfizd1/performance,89evszq7/performance,fp42hw7h/performance,fvb8eguk/performance,g3qwyand/performance,s83s485t/performance,dvvtxq96/performance,dsbj9bm9/performance,qq1xht71/performance,gqp7umgd/performance,drqzwdpe/performance,h1i1jsp5/performance,2wlpopba/performance,hax8etra/performance,dquda28q/performance,dqcvdxxz/performance,8j4jji26/performance,vcdqah2m/performance,v6gh3dyp/performance,6fner4wg/performance,d7933nkj/performance,v2pvphn8/performance,jx332um0/performance,5cgp87ye/performance,ukxb9fea/performance,lpp4rrr2/performance,ouiohmbf/performance,b270xqzl/performance,4cxis0jh/performance,y4rdxoj4/performance
16384000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16711680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17694720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333373069763,0.0,0.0,0.0
18022400.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0
18350080.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333334,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4
18677760.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4166666666666667,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0
19005440.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.9583333358168602,0.0,0.0,0.0
19333120.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.9545454545454546,1.0,0.0,0.0,0.28846153846153844,0.0,0.0,0.0,0.25,0.9692307710647583,0.0,0.0,0.4166666666666667
19660800.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.5530303066427057,0.0,0.625,0.0,0.0,0.0,0.9642857142857143,0.6,0.0,0.0,0.4615384638309479,0.0,0.0,0.0,0.4,0.9600000003973643,0.0,0.0,0.6
19988480.0,0.0625,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.5454545481638475,0.0,0.8611111144224802,0.0,0.0,0.0,0.9166666666666666,0.7,0.0,0.0,0.5090909139676527,0.0,0.0,0.0,0.16666666666666666,0.965986396585192,0.0,0.0,0.4848484857515855
