_step,00spdegt/discounted_return,2g0grw6b/discounted_return,5skjfdb6/discounted_return,63efs4rb/discounted_return,6cygp83c/discounted_return,6outyutx/discounted_return,92v9kww2/discounted_return,99qxlztw/discounted_return,9os7zt87/discounted_return,cu3fna3g/discounted_return,flgg4p43/discounted_return,gt7lt266/discounted_return,jpvjkq6y/discounted_return,lfrslc09/discounted_return,mfc412qw/discounted_return,mme3eu02/discounted_return,mynwux3u/discounted_return,nhxhyuax/discounted_return,ogzgxckx/discounted_return,padvbnfn/discounted_return,pn4cpj2n/discounted_return,qks8epfv/discounted_return,ry21zb85/discounted_return,sd0tj093/discounted_return,snotn0pl/discounted_return,t4rr01vg/discounted_return,u0pwzh7r/discounted_return,u1ccqn5v/discounted_return,vf236326/discounted_return,wtjv38vo/discounted_return
2621440.0,-0.8242966458201408,-0.8010731227695942,-0.8209164403378963,-0.8375798873603344,-0.8462898693978786,-0.8284061662852764,-0.8207178227603436,-0.8365004807710648,-0.8491702526807785,-0.8384089693427086,-0.8258428126573563,-0.8483305312693119,-0.832718338817358,-0.8322475291788578,-0.8176176398992538,-0.82871875166893,-0.8226300440728664,-0.8325492888689041,-0.8516632989048958,-0.8289962448179722,-0.8281018771231174,-0.8125799670815468,-0.806128490716219,-0.8396089039742947,-0.820687398314476,-0.8426555804908276,-0.8364285342395306,-0.8231004513800144,-0.8533498495817184,-0.8256015926599503
4718592.0,-0.5794292129576206,-0.566572580486536,-0.5274758040904999,-0.594667986035347,-0.5652996562421322,-0.5525620020925999,-0.5352084450423717,-0.5816511698067188,-0.5911927595734596,-0.5939665958285332,-0.5721411891281605,-0.49202909879386425,-0.6053064577281475,-0.6179326251149178,-0.6006810963153839,-0.5456164218485355,-0.612921692430973,-0.5599194094538689,-0.5969150327146053,-0.5971750840544701,-0.5698090828955173,-0.5572805069386959,-0.5916966646909714,-0.6164163202047348,-0.5384902507066727,-0.5160339642316103,-0.6303149797022343,-0.6048437990248203,-0.6123109571635723,-0.5540034286677837
6815744.0,-0.08621721132658422,0.049392378772608936,0.06547889451030642,-0.07226258830633014,-0.049442350515164435,0.0644831049721688,0.002441129110593465,-0.01176788454176858,-0.047428151447093114,-0.029295986765646376,-0.03547055565286428,0.08244171657133847,-0.13850572425872087,-0.129223239608109,-0.025544272182742134,0.07980614190455526,-0.11447698227129877,-0.0037620179646182805,-0.17656924482434988,-0.11472748382948339,0.00035602851130533963,0.05961172701790929,-0.04661106434650719,-0.19890090078115463,-0.017970782899283222,0.08597605209797621,-0.20865631103515625,-0.05212378059150069,-0.20971021428704262,0.052259230138588464
8912896.0,0.5760800968855619,0.9669484049081802,0.731331367045641,0.596371116116643,0.5904768034815788,0.6845803409814835,0.5053984075784683,0.6998874545097351,0.661743700504303,0.7034517340362072,0.6381483040750027,0.7643212080001831,0.499414486810565,0.4543959368020296,0.7285457961261272,0.8656088747084141,0.5970316044986248,0.6745477057993412,0.45799969881772995,0.43940266594290733,0.729878444224596,0.8983106762170792,0.6726801060140133,0.4487144872546196,0.6449698209762573,0.7145890854299068,0.33948495984077454,0.5950746722519398,0.46151765063405037,0.8941361792385578
11010048.0,1.5131426304578781,1.852218322455883,1.474871315062046,1.3626881763339043,1.3117461577057838,1.2820835262537003,1.0064068660140038,1.5376273915171623,1.4388499855995178,1.487598903477192,1.1508129015564919,1.4538419991731644,1.1502814628183842,0.9539872296154499,1.4686405509710312,1.6217281147837639,1.2920206785202026,1.3173320218920708,1.211452655494213,0.9660774879157543,1.5453944653272629,1.6910590082406998,1.4723683074116707,1.2216679751873016,1.134227491915226,1.3928669318556786,0.9274717383086681,1.3880194649100304,1.264274537563324,1.83584626019001
13107200.0,2.337129607796669,2.6626991033554077,2.2170449048280716,2.1259755939245224,1.9619328081607819,1.578691840171814,1.413101889193058,2.193628281354904,2.0973784998059273,2.2790130972862244,1.5457766205072403,1.9939375147223473,1.4842040240764618,1.317114695906639,2.253420516848564,2.3050571382045746,1.7850930914282799,1.7049391716718674,1.877252571284771,1.6782609075307846,2.336167424917221,2.4326517581939697,2.308928072452545,2.030646897852421,1.7339094281196594,1.708267480134964,1.5539912581443787,1.993144430220127,1.887419544160366,2.657152399420738
15204352.0,3.1016502529382706,3.420009970664978,2.680088385939598,2.675094574689865,2.5309051871299744,1.7682625353336334,1.6753432303667068,2.850311204791069,2.7451860308647156,2.7554882764816284,1.7580362930893898,2.2181886434555054,1.5783412158489227,1.6640729457139969,2.8357582837343216,2.7183835357427597,2.3560636788606644,1.8971988782286644,2.4621233344078064,2.04934461414814,2.7529618442058563,2.920307442545891,3.1181458979845047,2.6540624797344208,2.0804322212934494,1.864902526140213,2.0880280137062073,2.6330107748508453,2.043579764664173,3.3167928606271744
17301504.0,1.3965708501636982,2.150535248219967,1.161552481353283,1.2384512089192867,1.3702623434364796,1.129065863788128,0.8981845453381538,1.6817677356302738,1.2064382061362267,1.7194129452109337,0.6673422791063786,1.3934961035847664,0.6000524945557117,1.53039625659585,1.5483473017811775,1.4597624652087688,1.385449606925249,0.42415158450603485,1.7285118699073792,0.844093631953001,1.7558961547911167,1.3101468905806541,1.8053030706942081,1.7943484857678413,1.1677383109927177,1.0352475084364414,1.0590033195912838,2.1825695149600506,1.2402457259595394,2.0339668467640877
19398656.0,0.11844659771304578,0.06600825081113726,0.006824572919867933,0.03533578081987798,0.01575646665878594,-0.2034166983794421,0.03368655711528845,-0.0033535766269778833,-0.09531428435002454,-0.15326711512170732,0.001425247173756361,-0.00613143719965592,-0.13274064427241683,-0.029064618633128703,0.015013088122941554,0.004871590819675475,-0.004109120462089777,0.02231645624851808,-0.11919790866522817,0.056152161094360054,-0.13581943640019745,0.14450232847593725,0.10304628124504234,-0.026604623853927478,0.033909925259649754,-0.03476687603688333,-0.0676688338862732,-0.12359732761979103,-0.1342201781226322,-0.02472714224131778
21495808.0,1.3263644687831402,1.532864548265934,1.3808580562472343,1.4668366685509682,1.2814730145037174,1.2779212854802608,1.3375439792871475,1.3580415733158588,1.210437510162592,1.3992244005203247,1.1292705610394478,0.9321365021169186,0.8574953600764275,1.2306164503097534,1.4533858373761177,1.2719654440879822,1.3258698135614395,1.2704786583781242,1.1908097937703133,1.6038348898291588,1.0795137844979763,1.5097712129354477,1.5549009069800377,1.0574485212564468,1.3425933867692947,0.9684541076421738,1.0570082031190395,1.1728626787662506,1.0887501649558544,1.2018350586295128
