_step,13s34wm8/discounted_return,194js8m4/discounted_return,1b4ko03o/discounted_return,1x73mxr4/discounted_return,21szf8kk/discounted_return,4bq822j5/discounted_return,4hvxjp0c/discounted_return,4to6x7fy/discounted_return,82qfwz7r/discounted_return,84qllh0q/discounted_return,8iwshksf/discounted_return,98f1sok9/discounted_return,9douwcyu/discounted_return,bfkfe3i8/discounted_return,eacxwib0/discounted_return,fkbl6eet/discounted_return,i700o1pb/discounted_return,k6admgyb/discounted_return,m8g3g8xu/discounted_return,pce7f1px/discounted_return,praggiao/discounted_return,prlhhm6v/discounted_return,qc62qa8y/discounted_return,qgx5p54e/discounted_return,qukn67iw/discounted_return,tskc4t47/discounted_return,vs2u1tyw/discounted_return,wsclo43r/discounted_return,xmypnjhh/discounted_return
3145728.0,-0.8046354837715626,-0.803688682615757,-0.8001907281577587,-0.8131968341767788,-0.8067830838263035,-0.8014388419687748,-0.8106055408716202,-0.8075160197913647,-0.7984611876308918,-0.804168127477169,-0.7991053871810436,-0.8033301346004009,-0.8043780438601971,-0.8119263090193272,-0.799593161791563,-0.7992624379694462,-0.799285177141428,-0.7981443628668785,-0.8032851628959179,-0.7966706678271294,-0.8004606291651726,-0.8009586110711098,-0.8018799051642418,-0.7963052690029144,-0.810835812240839,-0.8136309869587421,-0.7998817265033722,-0.8181061185896397,-0.8021181374788284
5242880.0,-0.6728087440133095,-0.6754148490726948,-0.6796664856374264,-0.6650616303086281,-0.6934322565793991,-0.6781028658151627,-0.6822806857526302,-0.6728585809469223,-0.661526944488287,-0.6675499975681305,-0.6443503797054291,-0.6651091389358044,-0.6683767549693584,-0.6705059893429279,-0.660476379096508,-0.6792395301163197,-0.6764369010925293,-0.6743667051196098,-0.6723754890263081,-0.6663014553487301,-0.6620819568634033,-0.6732221469283104,-0.680198822170496,-0.6570202596485615,-0.6488293707370758,-0.7117072381079197,-0.6680859960615635,-0.6933609917759895,-0.6726680211722851
7340032.0,-0.4086280856281519,-0.3588422164320946,-0.32311176136136055,-0.35285927169024944,-0.3354452047497034,-0.37319736927747726,-0.44350223802030087,-0.3457443956285715,-0.3346179146319628,-0.31364441849291325,-0.2878623250871897,-0.41598127968609333,-0.3419081699103117,-0.3295183666050434,-0.341677600517869,-0.33251325972378254,-0.41727310232818127,-0.36263561621308327,-0.3706137463450432,-0.35651594400405884,-0.3057636693120003,-0.33050533197820187,-0.37732467614114285,-0.33012016862630844,-0.33980366215109825,-0.4375720340758562,-0.31577458791434765,-0.42438806407153606,-0.37679905630648136
9437184.0,0.10629154671914876,0.051867420494090766,0.21345252450555563,0.09045876516029239,0.06374295300338417,0.09017107612453401,-0.09193759434856474,0.04718438048439566,0.11379961506463587,0.14481653133407235,0.19541027024388313,0.0665167115512304,0.2243881174363196,0.15257819835096598,0.052011766645591706,0.10430689170607366,0.08760546470875852,0.17507495498284698,0.0578688519744901,0.11695195315405726,0.18463944969698787,0.11991745454724878,0.08266480738529935,0.09781511034816504,0.046100712184852455,0.06800306716468185,0.1342037278227508,0.00039096802356652915,0.14399221306666732
11534336.0,0.7410839051008224,0.4619647078216076,0.778490886092186,0.5161104686558247,0.5784288477152586,0.6410677954554558,0.35140901803970337,0.6342374160885811,0.6368812471628189,0.6504285894334316,0.6061328426003456,0.49705612286925316,0.7743022739887238,0.6975001581013203,0.5025988966226578,0.5951658561825752,0.5859307814389467,0.6703542433679104,0.5195141211152077,0.6591974906623363,0.6524690873920918,0.5230916850268841,0.6090203300118446,0.7369268871843815,0.4430865626782179,0.6768599264323711,0.7449869737029076,0.489302447065711,0.5460033509880304
13631488.0,1.1825994476675987,0.8044608570635319,1.1823621839284897,0.8316058069467545,0.9423373527824879,1.1718741655349731,0.7891450338065624,1.0470386147499084,1.1985846757888794,1.0974663309752941,1.012746587395668,0.8898839540779591,1.3413217142224312,1.1201017424464226,0.9212358333170414,1.1101083606481552,1.1419714838266373,1.206741839647293,0.9676944389939308,1.3522400334477425,1.17916339635849,0.90390520170331,1.1979774087667465,1.3749602511525154,0.7332229278981686,1.2524740546941757,1.4275886490941048,1.010362658649683,1.0787206627428532
15728640.0,1.6226496323943138,0.930757824331522,1.600735418498516,0.9999111071228981,1.3040209114551544,1.648644171655178,1.261475846171379,1.4359788745641708,1.6778791546821594,1.5573295429348946,1.490563027560711,1.1125439405441284,1.967448703944683,1.6173020005226135,1.3684108331799507,1.6646001115441322,1.8131444826722145,1.747599445283413,1.2365445084869862,1.854648157954216,1.8548429533839226,1.478149265050888,1.8559678718447685,1.9502277299761772,1.032930489629507,1.7454091534018517,2.0541561990976334,1.4456806033849716,1.6051383540034294
17825792.0,1.1329256147146225,0.23334283195436,0.8500588499009609,0.5472230948507786,0.5851690098643303,1.1173739470541477,0.3648291155695915,1.046609602868557,0.7549102231860161,0.613495446741581,0.6264334097504616,0.7131039910018444,1.6474733464419842,1.4073803909122944,0.6442264318466187,1.4953059293329716,1.0345507264137268,1.1509187705814838,0.4227651245892048,1.3224181160330772,1.459765549749136,1.209551602602005,0.8997580632567406,1.3499769866466522,0.43322593718767166,0.911345511674881,1.0726856403052807,1.2995245233178139,1.0460473857820034
19922944.0,-0.3198478892445564,-0.15051619743462652,-0.17249951540725306,-0.31524079432711005,-0.08747060649329796,-0.22631723247468472,-0.1801947519998066,-0.2246676340000704,-0.16109172372307512,-0.29799046739935875,-0.19196252893380006,-0.2501984678674489,-0.18867378721188288,-0.27836994361132383,-0.22856335318647325,-0.2727309465408325,-0.08508660970255733,-0.2383565758354962,-0.2825538421748206,-0.1735936564509757,-0.18993604522256646,-0.2921428562840447,-0.15571865596575662,-0.16329768183641136,-0.35486926417797804,-0.27165084797888994,-0.19280197250191122,-0.4228586698882282,-0.4462741901515983
22020096.0,0.6533518210053444,0.708222433924675,0.6111603826284409,0.4791072253137827,0.7315846923738718,1.0316399149596691,1.070866845548153,0.6831509955227375,0.5801115799695253,0.8100934401154518,0.6974025592207909,0.6463565304875374,1.0466439574956894,0.5214845445007086,0.5853084363043308,0.5882691685110331,1.0781320109963417,1.0120984390377998,0.9332919046282768,0.9480641297996044,0.6858259867876768,0.9790330603718758,0.7927540726959705,1.0341006889939308,0.529832573607564,0.6262988988310099,0.8196008466184139,0.6876709386706352,0.9786480888724327
