_step,0aa3cvyo/discounted_return,2zmxsbeo/discounted_return,32js8gx8/discounted_return,3vt9y5k8/discounted_return,5k4iud81/discounted_return,60woou5x/discounted_return,6pf17133/discounted_return,7rvp9ssu/discounted_return,8jqqols3/discounted_return,8lmr4g5d/discounted_return,9pes2yv7/discounted_return,bszmupol/discounted_return,bvebjfi5/discounted_return,e7ge96mn/discounted_return,f7fl3ega/discounted_return,g562qsvw/discounted_return,hupn58ep/discounted_return,l94wepmk/discounted_return,ltvs6kjh/discounted_return,nc4vcanv/discounted_return,r03j3et6/discounted_return,ri5i5bq8/discounted_return,rk8amzrj/discounted_return,rx24mj5d/discounted_return,sgiwrmdu/discounted_return,t0z60lrf/discounted_return,t2gz4d4r/discounted_return,uh2zmmg6/discounted_return,um9sdw21/discounted_return,vctu8hpl/discounted_return
2621440.0,-0.8310857191681862,-0.8220050819218159,-0.8555744513869286,-0.8163510337471962,-0.8337911665439606,-0.8476695604622364,-0.8319722376763821,-0.8328431360423565,-0.8261661678552628,-0.8341270051896572,-0.8217641599476337,-0.8164544776082039,-0.820255596190691,-0.8074180483818054,-0.8339626714587212,-0.8374149240553379,-0.8476513065397739,-0.8315308392047882,-0.8104379065334797,-0.8224297799170017,-0.8580142967402935,-0.8415967337787151,-0.8451251685619354,-0.8349899873137474,-0.8212302625179291,-0.8274444118142128,-0.8301238492131233,-0.8418315015733242,-0.8250996135175228,-0.818705502897501
4718592.0,-0.5724884197115898,-0.6421093828976154,-0.5537490695714951,-0.5697886422276497,-0.5698923282325268,-0.6093859635293484,-0.5652047581970692,-0.560244157910347,-0.5530155152082443,-0.591625265777111,-0.6296366080641747,-0.5299975294619799,-0.49277726002037525,-0.5356186591088772,-0.6085625849664211,-0.621216606348753,-0.5891176126897335,-0.5816168896853924,-0.5588988587260246,-0.5733972787857056,-0.6264467164874077,-0.5875777117908001,-0.565033096820116,-0.5709319561719894,-0.5967195145785809,-0.6119475401937962,-0.5489866174757481,-0.5142809469252825,-0.6048820093274117,-0.5634434930980206
6815744.0,0.017237570450333806,-0.29168962873518467,0.01328349273535423,0.08710475312545896,-0.03407197160413489,-0.12943317205645144,-0.06973908306099474,-0.0138095805523335,-0.02924741042079404,-0.1008895713603124,-0.21124861482530832,0.030398332746699452,0.16861008247360587,0.20068263541907072,-0.10629153193440288,-0.12094403652008623,-0.09906539018265903,-0.07085967995226383,-0.03703537356341258,-0.06405451099271886,-0.2069281954318285,-0.06764179597666953,0.00239001217414625,-0.026263912201102357,-0.14318879507482052,-0.17983056791126728,0.08605224825441837,0.04373289852810558,-0.17398162139579654,0.04023292270721868
8912896.0,0.6446712240576744,0.1622347547672689,0.7058968879282475,0.8553106412291527,0.6141807585954666,0.4896141476929188,0.6474212296307087,0.6323185637593269,0.6172823049128056,0.4995156154036522,0.38921080343425274,0.7291136272251606,0.9759187735617161,1.2361410036683083,0.4170610476285219,0.6336358413100243,0.59730589017272,0.5295343641191721,0.7281757593154907,0.6474674642086029,0.2946064891293645,0.6440517157316208,0.6267496682703495,0.5488664042204618,0.5075217876583338,0.41102172061800957,0.8948410302400589,0.6470606774091721,0.4613468777388334,0.6984123438596725
11010048.0,1.299550600349903,0.6296197697520256,1.470037080347538,1.5262705609202385,1.316642850637436,1.160907156765461,1.300753504037857,1.231919340789318,1.3389601185917854,0.9717158041894436,1.07571492344141,1.3734740316867828,1.8152549713850021,2.2603577077388763,0.8530755080282688,1.492570899426937,1.323962576687336,1.183516502380371,1.4716326221823692,1.4004920944571495,0.913901012390852,1.3512309938669205,1.1416945978999138,1.0383375249803066,1.2351732850074768,0.8924378119409084,1.6709604486823082,1.3605183362960815,1.1011986806988716,1.2987850084900856
13107200.0,1.7874708697199821,1.2954499050974846,2.0510349199175835,2.143364757299423,1.6832524314522743,1.8783335834741592,2.046732470393181,1.809318169951439,1.9001843556761742,1.4572803601622581,1.7305664867162704,1.824622631072998,2.548153802752495,2.732448533177376,1.410327821969986,2.034677043557167,2.0717394053936005,1.6508193090558052,2.2011317387223244,2.1612884998321533,1.5152286812663078,1.9602323397994041,1.48667561262846,1.4516311287879944,2.01192544400692,1.4546837285161018,2.360671877861023,1.911585509777069,1.6772135272622108,1.6738319993019104
15204352.0,2.205877035856247,1.97975804656744,2.3659291118383408,2.5804176032543182,1.7913334146142006,2.4855377972126007,2.6224067509174347,2.212972044944763,2.195061430335045,2.028189532458782,2.327086165547371,2.166137248277664,3.1348452866077423,2.9834882766008377,1.9704002514481544,2.5804785937070847,2.573230654001236,1.912193514406681,3.132771447300911,2.8328333497047424,2.11715579777956,2.373857766389847,1.7485570088028908,1.6832851395010948,2.7013211846351624,1.9454015642404556,2.8224768936634064,2.094404086470604,2.048984155058861,2.1922818571329117
17301504.0,0.7459547631442547,1.193185143172741,1.1747818402945995,1.5730122476816177,0.8747003749012947,1.4710555411875248,1.4417132697999477,1.0502692088484764,1.3327979855239391,0.9939281605184078,1.1805166490375996,0.7975942306220531,1.6776291206479073,1.65176148340106,1.0979880765080452,0.846436619758606,1.1152655519545078,0.9029760584235191,1.8403597623109818,1.533304002135992,1.3487225584685802,1.9919912740588188,0.5869808793067932,1.1005127914249897,2.5093607492744923,0.7430653050541878,1.860891804099083,1.0774823427200317,1.02197602763772,1.3799600191414356
19398656.0,0.052641146117821336,0.05279260064708069,-0.1258984439264168,0.05129800186841749,-0.04743621952366084,-0.0067123546614311635,0.06806593632791191,-0.11999662846210413,0.04740797795238905,-0.006689708476187661,0.15825583948753774,0.12368418741971254,-0.042318832129240036,0.03886330116074532,0.0685394323663786,0.030254350742325187,-0.010632428136887029,0.013601266779005527,0.11983950238209218,0.043152497557457536,-0.10067687736591324,-0.14086176702403463,-0.052452415365223715,-0.10724642200693779,-0.033429262664867565,0.0027874023653566837,-0.016350506790331565,-0.0016644153511151671,-0.0590067837620154,0.0694622564187739
21495808.0,1.1830172538757324,1.6338296681642532,0.6930305063724518,1.5372138246893883,1.063635103404522,1.181313555687666,1.4711372628808022,0.8769858665764332,1.3684815615415573,1.427480086684227,1.475316509604454,1.3092022351920605,1.3012335039675236,1.48759575933218,1.4862304478883743,1.3761831894516945,1.1889150328934193,1.429489590227604,1.3990241475403309,1.493356704711914,1.209370393306017,1.2312365546822548,1.0132302977144718,1.0611228048801422,1.2448273338377476,1.2341387681663036,1.2106429114937782,1.3593184798955917,1.1002753786742687,1.4573855698108673
23592960.0,2.2765044420957565,2.710402876138687,1.5647927597165108,2.86513589322567,2.085680603981018,1.9772960469126701,2.632886052131653,1.9162267819046974,2.657973900437355,2.7089551091194153,2.848366603255272,2.2651063576340675,2.407061740756035,2.8204728215932846,2.689553454518318,2.3319000899791718,2.309103563427925,2.717419058084488,2.348808452486992,2.6613920778036118,2.4531588703393936,2.411870375275612,1.7696915790438652,2.03349120169878,2.311597116291523,2.1797932982444763,2.431150548160076,2.72984316945076,2.092428393661976,2.847462847828865
