_step,088fkgn4/performance,mykgoimf/performance,3imjf74g/performance,oo9c0qem/performance,ly65cw3v/performance,zpgnwnc9/performance,58kq0iy8/performance,59fyvulg/performance,l5dgfch6/performance,34qcdwss/performance,xt5j3tsv/performance,0n1c67h8/performance,0pztk0hx/performance,h5v2pfi4/performance,wfq8sv9d/performance,qt5m0csx/performance,ggu2lkjn/performance,7av45b2y/performance,yxq0k0km/performance,qz02l75f/performance,vu4l80fw/performance,etyj8887/performance,dj5l9jm3/performance,dd4xmowq/performance,sbkiya3c/performance,cyn4hl4q/performance,8v2ehep7/performance,soz4gaal/performance,9lysum4f/performance,adfg3esn/performance
1048576.0,0.00024550957459723577,0.00024963769828900695,0.0002501549279259052,0.00024885061429813504,0.0002492598687240388,0.00024984463379951194,0.00024741989182075486,0.0002487088058842346,0.0002450929932820145,0.0002507144017727114,0.0002511202692403458,0.00025023333000717685,0.00024463224872306455,0.0002450964184390614,0.00024547580869693775,0.0002508596808183938,0.00024419164947175886,0.00024996041975100525,0.00024807441513985395,0.0002485204822733067,0.00024560657948313747,0.00025217726215487346,0.0002507739372958895,0.0002491677150828764,0.0002473999193171039,0.00024794651471893303,0.0002458995768392924,0.0002460290979797719,0.00024827241577440873,0.00025159218057524413
8388608.0,0.00037249134220473934,0.00035139030842401553,0.00036581887979991734,0.00039635636312596034,0.0003810765683738282,0.00037828264976269566,0.00035199083686165977,0.0003404704239073908,0.0003871668468491407,0.000398705566112767,0.00035904608193959575,0.0003598149214667501,0.00033323758725600783,0.0003729396757989889,0.00035048842255491763,0.00038101836253190413,0.00034412407512718346,0.00041313489964522887,0.0003594659337977646,0.00036228099088475574,0.0003532070895744255,0.0003529283949319506,0.00037922558112768456,0.0003181818883604137,0.0003632033385656541,0.00033348748729622457,0.00028537383514049,0.00035240086072008125,0.00035363573806534987,0.0003575292084860848
9437184.0,0.0004119604145671474,0.0003810766156675527,0.00040554233237344306,0.0004426812593010254,0.0004272298428986687,0.000420975300585269,0.0003822152011707658,0.0003708151380124036,0.00043146402458660305,0.0004359836002549855,0.00039408591510436963,0.0004006951203336939,0.0003654862830444472,0.00041702023554535117,0.0003836646628769813,0.0004127525789954234,0.00037338523725338746,0.00045786731607222464,0.000400306122173788,0.00040434265793010127,0.00037986931602063123,0.0003909276256308658,0.0004218863196001621,0.00034403204881527927,0.00039584675869264174,0.0003637642948888242,0.0003158670606353553,0.00038338982267305255,0.00039324160388787277,0.0003917757912859088
10485760.0,0.0004554801344056614,0.00042111250513698906,0.0004452166958799353,0.0004885716316493927,0.0004728430685645435,0.00046208585627027787,0.0004214870004943805,0.0004101885024283547,0.0004739355354104191,0.00047897661897877697,0.000435937377915252,0.00044094187614973634,0.00039430978176824283,0.00045932426655781455,0.00042055969606735744,0.00044875497769680806,0.00040227241515822243,0.0005012906440242659,0.0004438006362761371,0.00044841029739473015,0.00040866234121494927,0.0004313620138418628,0.0004650351656891871,0.0003750259475054918,0.0004351281404524343,0.00040277469088323414,0.0003507745641400106,0.00042483701145101804,0.00043839934915013146,0.0004352862815721892
29360128.0,0.0013399613526416942,0.0013866864755982533,0.001236854077433236,0.0013216668885434046,0.001268352018087171,0.001320868068432901,0.0013181882604840212,0.001352443105133716,0.001164109300589189,0.0013023129722569138,0.0013097521077725105,0.0012913466489408165,0.0013515039972844534,0.0012877377157565206,0.0011178339991602115,0.0012206819228595123,0.0012624417431652546,0.0013444778887787834,0.0012801972552551888,0.001392759797454346,0.0012959480663994327,0.0012189307235530578,0.001452136923035141,0.0013767421987722628,0.0012419828053680249,0.0013026722517679445,0.0011543291475391015,0.0012644128073588945,0.0013479185945470817,0.0013096639886498451
30408704.0,0.0013935827955720015,0.0014775681775063276,0.0013043184007983655,0.001388018048601225,0.0013020988044445403,0.0013460990521707572,0.0013850733012077399,0.00144758712121984,0.0012312481921981089,0.0013479980916599743,0.0013574454496847466,0.0013699679548153654,0.0014160560676828027,0.0013373662295634858,0.0011877099532284774,0.001293774061196018,0.001333557338512037,0.001413606631103903,0.0013721362047363073,0.0014396996120922267,0.0013954461537650786,0.0012886931872344576,0.0015079264994710684,0.0014363798836711794,0.0013285485401866026,0.0013448104582494125,0.0012385617665131576,0.0013557990969275124,0.001463006941776257,0.0013861368934158236
35651584.0,0.0016702899083611555,0.0018016104295384139,0.0016268389008473605,0.0017096371811931022,0.0016202048936975189,0.001565788479638286,0.0016250194239546545,0.0017682052275631577,0.0015605659937136807,0.0016181238534045406,0.0017141937860287726,0.0016665570001350716,0.001767372974427417,0.0016139118670253083,0.0014718604797963053,0.0016378547152271494,0.0016183220141101629,0.0016767323468229733,0.0016740998325985856,0.0017661240708548576,0.001685658840870019,0.0015660397984902374,0.0018226637766929343,0.0017198827990796417,0.001634212036151439,0.0016368242286262102,0.0016167470676009543,0.0015680618671467528,0.0017712632470647804,0.0016248129104496911
44040192.0,0.0021055079414509237,0.00214984682679642,0.0020908157603116706,0.002029325391049497,0.002111525449436158,0.0019444950012257323,0.0020499378952081315,0.0021325084744603373,0.0019485400189296342,0.0020606032630894333,0.0022380600858014077,0.002168521168641746,0.0020753700227942318,0.0020115063889534213,0.001883174030808732,0.002137909716111608,0.002173414424760267,0.0019716430761036463,0.002131978573743254,0.0021976669086143374,0.002170229403418489,0.0019094836461590603,0.0021805613359902054,0.0021438263938762248,0.002056931291008368,0.002089218469336629,0.001970847610209603,0.0020445790942176245,0.0021340469684218988,0.002093582006637007
46137344.0,0.0021668748959200457,0.0021763769182143733,0.0021664742671418935,0.0021276536281220615,0.0022297020332189277,0.0020057467481819913,0.0021480153664015234,0.0021787900768686086,0.001994656602619216,0.002168515304219909,0.002355351942242123,0.0022574660688405856,0.002175229601562023,0.0021134225535206497,0.0019762333686230704,0.002210549428127706,0.00224238311056979,0.002071864058962092,0.0021836441446794197,0.0023249723453773186,0.002263298476464115,0.0020065881908521987,0.002297607352375053,0.002259064625832252,0.0021769258310087025,0.002177737624151632,0.002094559429679066,0.002184319222578779,0.0022104787349235266,0.0021964580519124866
47185920.0,0.002282050991198048,0.0022319979179883376,0.0021837494714418426,0.0022024639911251143,0.0022574609611183405,0.002046216315648053,0.002164151766919531,0.0022154644975671545,0.0020585323945851997,0.002245923664304428,0.0023898868676042184,0.002308399634785019,0.002226869954029098,0.0021333074546419084,0.0020302316697780043,0.0023261792230186984,0.0022902388591319323,0.0020701277535408735,0.0022468403622042388,0.0023595932871103287,0.0022682250710204244,0.002110672794515267,0.0023298527667066082,0.002316066966159269,0.0022199287632247433,0.002213518353528343,0.0021240705682430416,0.0022549386194441468,0.002230319121736102,0.002236556014395319
