_step,0ijzjgez/performance,o6h4gxel/performance,mynx3znr/performance,0m3f4hi7/performance,ysa26f2x/performance,2m3hkyj0/performance,35er9m8w/performance,m9rzeoqe/performance,ljjvx7mw/performance,lepdlh5k/performance,l4js5vdt/performance,kfk4rjzi/performance,w46k4y7f/performance,8juwiqli/performance,ht4k8745/performance,v3nkpjva/performance,8pudt8ca/performance,qpa5qjdt/performance,gpt7mijy/performance,qsqgi8rr/performance,u0g2sfwl/performance,b71s6gzq/performance,bccphubb/performance,fryfjlwg/performance,frdji44f/performance,fou2xw16/performance,dxbjmwgn/performance,e99y2yva/performance,fmycqkpu/performance,eq4chqvl/performance
1048576.0,0.0002488359314156696,0.00024888550433388446,0.00025088052643695846,0.0002430052791169146,0.0002470597519277362,0.0002527171054680366,0.00025045643997145817,0.0002515559572202619,0.0002537900218158029,0.0002479215236235177,0.00024690141253813636,0.00025050871045095846,0.00024884496815502644,0.0002480820257915184,0.00025082629872485995,0.00024894438683986664,0.0002502020652173087,0.0002495462977094576,0.00024912008666433394,0.0002523277507862076,0.00025015090068336576,0.00025219239978468977,0.0002504839085304411,0.0002479283793945797,0.0002496166453056503,0.00024783319531707093,0.0002502381903468631,0.00025101646315306425,0.00024760701671766583,0.00024873873917385936
8388608.0,0.00032695672052796,0.00035482555722410325,0.00038431587381637655,0.0003091391026828205,0.00035202390427002683,0.00032407200706074946,0.00033438863465562463,0.0003242341954319272,0.0003992766887677135,0.00037140566018933896,0.00039072707295417786,0.0003834012750303373,0.0003550443343556253,0.00034473980485927314,0.00039513504270871636,0.00035884073076886125,0.00032515175007574726,0.00039869213833299,0.00037011378299212083,0.0003550117453414714,0.0003560525419743499,0.00036720410389534663,0.0003554284885467496,0.00036037046265846584,0.00037075903856020886,0.0003524561816448113,0.00040524755422666203,0.00036630146314564627,0.00034357543881924357,0.00038230048448895104
9437184.0,0.0003776374778681202,0.00040470702515449375,0.00043486847607709933,0.0003590001324482728,0.00040575854291091673,0.0003736708367796382,0.00038272319216048345,0.0003751707736228127,0.000454290842753835,0.00042379851220175624,0.0004455549042177154,0.00043407064185885247,0.00040230684135167394,0.0003956993532483466,0.00045074087393004447,0.00040995645576913375,0.00037382711707323324,0.0004529046709649265,0.00041783289998420514,0.00039519378333352506,0.0004058588674524799,0.0004076673176314216,0.000407063524107798,0.0004179811840003822,0.00042685649896156974,0.0004061296367581235,0.0004644764994736761,0.000421580209149397,0.00039355759872705676,0.00043290445864840876
10485760.0,0.0004293465281079989,0.0004559101398626808,0.0004813643881789176,0.00041112508552032523,0.000457844509583083,0.0004251404698152328,0.00043386092329456005,0.00042988483255612664,0.000501237649586983,0.00047291900773416273,0.0004945457130816067,0.0004842574999202043,0.00043647777783917263,0.00044517225978779607,0.000504831212310819,0.00046173475857358426,0.00042291913996450603,0.0005009654960304033,0.000469473481643945,0.00044367431473801844,0.0004517533852776978,0.00045365366531768814,0.00045865003266953863,0.0004722111043520272,0.00047854163676674943,0.00046030750854697544,0.0005110647798574064,0.00047468508273595944,0.00044319591324892826,0.00047823630302445963
29360128.0,0.001490886279498227,0.0014712689808220603,0.0017191037986776792,0.0014752775750821456,0.001720033171295654,0.0016052860009949654,0.0015766252981848083,0.0015716229827376083,0.0015752594990772195,0.0016189310335903428,0.0016029438047553413,0.0016654190767440014,0.0015852740398258902,0.0016621493268758059,0.0016981170047074556,0.001672417696681805,0.0017063125342247076,0.0016796062409412116,0.0016238730095210485,0.0016069472112576477,0.001591123393154703,0.001652062011999078,0.001684450005996041,0.001632873412745539,0.001696076571533922,0.0016590728773735464,0.0015598235841025598,0.0014895868225721642,0.0016090597418951802,0.0016309380735037848
30408704.0,0.0016002808115445077,0.0015199594490695745,0.001789649119018577,0.0015611694907420315,0.0018115359634975903,0.001693618374702055,0.0016617594956187531,0.0016557277558604255,0.0016345264593837783,0.0017218060747836716,0.0016929343109950423,0.001766047404089477,0.0016634772546240129,0.0017561812055646442,0.0017943514321814291,0.001725359761621803,0.0017915814387379214,0.0017565623129485175,0.0016849724706844427,0.0017228208525921218,0.001697222818620503,0.0017413085370208137,0.0017741783158271573,0.0016774000323493965,0.0017539863256388344,0.0017264200942008756,0.0016353201135643758,0.0015892810697550885,0.0017061200996977277,0.0017571607895661145
35651584.0,0.0019806518394034356,0.0018558637239038944,0.0021450559142977,0.001949433033587411,0.0022463317291112617,0.0021175860019866377,0.002027706039370969,0.002046494795649778,0.001913330728712026,0.0019974521346739493,0.002109794833813794,0.002126387567841448,0.002008382711210288,0.0020962570706615224,0.002101021440466866,0.002054579454124905,0.002196223649661988,0.0021215185115579516,0.0021209744591033086,0.002191594321629964,0.0020997523970436305,0.002112678688718006,0.0021484465250978246,0.002065209897409659,0.0021068718342576176,0.0020605421159416437,0.0020215222029946744,0.0019650110916700214,0.0020866164268227294,0.002053830241493415
44040192.0,0.0025248954334529117,0.00236106502416078,0.00274502880347427,0.0025641363026807085,0.002854828300769441,0.002678151286090724,0.002615396966575645,0.002581022374215536,0.0024225040688179433,0.0025476091395830736,0.0026110474427696317,0.0026474658952793106,0.0026078417868120596,0.0026833827432710677,0.002507521028746851,0.002773473723209463,0.0028095433954149485,0.002606325433589518,0.0026698469591792673,0.0028271156188566238,0.0027244117809459567,0.002689803222892806,0.0026743131456896663,0.00266740849474445,0.00269539569853805,0.0025230975152226165,0.0026837422919925302,0.002558350723120384,0.0026641912263585255,0.0027850663755089045
46137344.0,0.002680460806004703,0.002521711721783504,0.002932228540885262,0.002696640294743702,0.0029485302657121792,0.0028489088726928458,0.002728151943301782,0.0028101834031986073,0.0025751832145033404,0.002689107073820196,0.002753817694610916,0.002809857818647288,0.002775513654341921,0.0028305744053795934,0.0026714356063166633,0.002857396801118739,0.003015600930666551,0.002751346313743852,0.002790601211017929,0.002999236196046695,0.0028207970171933994,0.0027992437535431236,0.002822657785145566,0.0027881206333404407,0.002819325905875303,0.0026432057638885453,0.0027741553058149293,0.0026778984756674618,0.00268362183123827,0.0028578134661074728
47185920.0,0.002762842399533838,0.0026100604300154373,0.0029949727904750034,0.0027656395541271195,0.003002058481797576,0.0029071284661768004,0.002749885170487687,0.0027949118084507063,0.0026348771789344028,0.002724324236623943,0.002800558853778057,0.002853124722605571,0.0028704816359095275,0.002943034371128306,0.0027331625897204503,0.0029933279001852497,0.00296701661136467,0.0028734647639794275,0.002805754542350769,0.0029930442542536184,0.0028404580807546154,0.002896871214034036,0.0028554468299262226,0.002907013680669479,0.00287913583451882,0.002732833308982663,0.002818490320350975,0.0027290775906294584,0.002878368613892235,0.002990087159560062
