_step,44pth7dq/performance,o5mwxqk1/performance,p6ijhbf2/performance,k94544ip/performance,xdndgzsu/performance,5vjuux3z/performance,6efhaa2e/performance,0u48poex/performance,iuspbm89/performance,6o2mkxly/performance,14juf15y/performance,6v63v0at/performance,700lehlq/performance,72y902wi/performance,qg1j6u4q/performance,796uy06q/performance,ge812jsy/performance,yrfekkaq/performance,voccahyo/performance,vfj1q9ei/performance,vdgk8p5e/performance,dbks7i2l/performance,d1cmozp0/performance,sox41ovz/performance,cchozc4a/performance,cc0annzf/performance,urbslmpf/performance,9h6fc80h/performance,bvzib22d/performance,211edy1d/performance
1048576.0,0.00025377331257914193,0.0002521567039366346,0.0002500139598851092,0.0002473714957886841,0.0002517005741538014,0.0002492222010914702,0.00025002991969813593,0.00024860735720722005,0.0002472555115673458,0.0002481241481291363,0.0002497593995940406,0.0002478338592482032,0.00024777000726317056,0.00024918098279158585,0.0002505044103600085,0.0002466516689310083,0.00024815331562422216,0.0002474431985319825,0.0002518912333471235,0.00025448653832427226,0.00025226577417925,0.0002526085518184118,0.00024809483147691935,0.0002479647500877036,0.0002542683323554229,0.0002504303483874537,0.0002503078976587858,0.0002532349208195228,0.0002498270696378313,0.0002532704565965105
8388608.0,0.00032199481029238086,0.0004088309287908487,0.0003548300865077181,0.0003670936785056256,0.000339881098625483,0.0003895146401191596,0.0003803652998612961,0.0003692386617331067,0.0003961530001106439,0.00039570415901835077,0.00036038678081240505,0.0003761466377909528,0.0003514512391120661,0.00031045734431245364,0.0004114544062758796,0.00032308794288837817,0.0003517366076266626,0.0004059677139593987,0.00033067907133954577,0.00034804157985490747,0.000411659919336671,0.00032091819957713597,0.0003276795832789503,0.0003796537348534912,0.0003730391999852145,0.00040708098276809324,0.00042256472079316154,0.00043712842125387397,0.0003397706586838467,0.00033571632411621977
9437184.0,0.00035269613363198005,0.0004526940429059323,0.0003937354613299249,0.00039892039603728335,0.000370890546037117,0.00044119221092842054,0.00040946233093563933,0.00039628927879675757,0.00044415401680453215,0.0004416121755639324,0.0004034284338558791,0.0004083981220901478,0.00039048872531566303,0.0003359253241796978,0.00045826618043065537,0.0003529107470967574,0.00039154610931291245,0.00044244792479730677,0.0003693124854180496,0.000377553664293373,0.000461518464362598,0.00034629893343662843,0.0003603252062021056,0.0004178649942332413,0.00041211620191461407,0.0004496044039115077,0.00045695831067860126,0.0004732433026219951,0.00037468998198164627,0.00037201980012468994
10485760.0,0.0003859015123452991,0.0004953793595632305,0.0004325877980591031,0.0004367281926533906,0.00040208108657679986,0.00048697330203140154,0.0004396517397253774,0.0004238681503920816,0.0004890777800028445,0.0004820110170840053,0.00044023815280525014,0.0004449766329344129,0.00042902408313238993,0.00036443089811655227,0.0005029619151173392,0.0003837303338514175,0.0004352484229457332,0.0004712579866463784,0.0004103616920474451,0.0004141291865380481,0.0005050864110671682,0.00038431006760220043,0.00039574986476509366,0.0004593863741320092,0.00045077676622895524,0.000492681356263347,0.0004915831977996277,0.0004991192236047937,0.0004104527452000184,0.0004027615323138889
29360128.0,0.0011408426289563067,0.0012250566214788705,0.0011510682379594073,0.00110149980901042,0.0010998139405273832,0.0012135662182117812,0.0010924615198746324,0.0012699689395958558,0.0010956019687000662,0.0012431985742296092,0.001104775321437046,0.0010772300738608465,0.0011705095312208869,0.001051050319802016,0.0012095386919099838,0.0010995568300131708,0.0010405839202576317,0.0011862999090226367,0.001189489987154957,0.001116296676627826,0.0011449118028394878,0.0010969434079015628,0.0010931908473139629,0.0011664735720842145,0.0011709094396792352,0.0011218704967177473,0.001181737294245977,0.0011340332348481752,0.0009672349406173453,0.0011356551767676137
30408704.0,0.001196831653942354,0.0012763788254233077,0.0011790987846325152,0.0011595084361033514,0.001166100257250946,0.001239842691575177,0.0011755471059586853,0.0013236759186838754,0.0011448841178207658,0.0012895969484816305,0.0011275282013230026,0.0011196694467798807,0.0012040360670653172,0.0011063463607570156,0.0012382425047690049,0.001153761157183908,0.0010804350531543605,0.0012345867799012922,0.0012807573366444558,0.0011617543059401214,0.001180330065835733,0.0011107622194685973,0.0011708989695762284,0.001183036234579049,0.001206797460326925,0.0011608697677729651,0.00123034246644238,0.001166260837635491,0.0010000730799220037,0.0011819365754490718
35651584.0,0.0014220434823073447,0.0014761100101168267,0.0013471894999383949,0.0014645643095718697,0.0013992286258144304,0.0014996804602560587,0.0014070441466174088,0.001496896889875643,0.0014175903997966088,0.0015597775418427773,0.0013075330862193368,0.0013530366486520506,0.0014959017426008359,0.001374307568767108,0.0014465016211033799,0.0014178603523760103,0.0013406737052719109,0.001481117658840958,0.0015232251316774637,0.0013666132945218123,0.0014125532397883944,0.001334353735728655,0.0014199750949046575,0.0014366856048582122,0.0014396688347915187,0.0013777609055978246,0.001382777794788126,0.0013631180918309838,0.0011490838733152486,0.001331278843281325
44040192.0,0.001764987151545938,0.001653461338719353,0.0015276820631697774,0.0017284983478020877,0.0017046131542883813,0.0017955704606720246,0.0017867956121335737,0.001803812017897144,0.0017447659265599214,0.00187622761586681,0.0015177849709289148,0.0016196911237784661,0.0017531257908558473,0.0017608227644814178,0.0017240065135410987,0.0017922707047546282,0.0016165633642231114,0.0018354370986344293,0.00176348216336919,0.0015460374852409586,0.0016788029242889024,0.001653265288041439,0.0017946683292393573,0.001728342285787221,0.0017747206293279305,0.001705200171272736,0.0015979200761648826,0.0016193902774830349,0.0015849352785153314,0.0015073662580107339
46137344.0,0.0018127520597772673,0.0016665001458022743,0.001592519438418094,0.0017738702226779424,0.0017660644080024213,0.001833378708397504,0.0018756810823106207,0.0018482141531421803,0.001799684061552398,0.0019101179277640767,0.001572424742334988,0.0017079678000300191,0.001765128195984289,0.0017564626978128217,0.001819316647015512,0.0018479445861885324,0.0016821544777485542,0.0018589221508591436,0.0017999046831391752,0.0015425913370563649,0.0017489459423813969,0.0016752245428506285,0.0018686333642108366,0.0017512263075332157,0.0018256367329740897,0.0017159027120214887,0.0016713908989913762,0.0016482792343595065,0.001675985724432394,0.0015074340408318676
47185920.0,0.0018707692215684801,0.001684560724243056,0.001578889619850088,0.0017844090034486726,0.0017757638634066097,0.0018794374846038409,0.001887891769001726,0.0019085179010289721,0.0018065481417579576,0.0019190351376892067,0.0015907925917417742,0.0017198768618982285,0.0018275711627211422,0.0018095443956553936,0.0018664449162315577,0.0018818123789969832,0.0016836083232192323,0.0019013104174518958,0.0018229540219181217,0.0015605585358571261,0.0017948558015632443,0.0017005702902679332,0.0019242942071286961,0.0017525294970255345,0.0018705035399761982,0.0017435256377211772,0.001673656479397323,0.0017262692854274064,0.0016971960067166947,0.0015480279034818523
